Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR1555695_1	(1, 0.011850410294395548)	(2, 0.0)	(3, 0.0)	(4, 0.00035859791883111086)	(5, 0.016874950901273323)	(6, 0.014677496212622213)	(7, 7.088563511777773e-05)	(8, 0.01004908121375555)	(9, 0.0)	(10, 0.0007276201957677773)	(12, 0.0)	(14, 0.0)	(16, 0.002539373634513332)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0010320114524499993)	(26, 0.01517995027330999)	(28, 0.02951135779682776)	(30, 0.005610389532409997)	(32, 0.028871302209146646)	(34, 7.90440921993611)	(36, 0.03255318549202887)	(38, 0.017879859022648877)	(40, 0.014927680807155546)	(42, 0.026031707061193315)	(44, 0.005333101606802219)	(46, 0.01177743978765666)	(48, 0.02214967610268443)	(50, 0.02034417727880221)	(52, 0.056126828911932186)	(54, 0.07126716662444106)	(56, 0.08396611966862884)	(58, 0.052211440007485524)	(60, 0.07918550904142106)	(62, 0.01508613105035999)	(64, 0.0)	(66, 0.001363506040206666)	(68, 0.010441037078524439)	(70, 8.756460808666661e-05)	(72, 0.0)	(74, 0.0001938930607633332)	(76, 0.012275724105102213)	(78, 0.04352586483393664)	(80, 0.06998914032069996)	(82, 5.212179052777775e-05)	(84, 0.0012238196415922215)	(86, 0.006642400984859996)	(88, 6.671589187555552e-05)	(90, 0.0)	(92, 0.03395004947817331)	(94, 0.049484427927072194)	(96, 0.05857863793835885)	(98, 0.09989662372553883)	(100, 0.04563367004287997)
SRR1555695_1129_1	(1, 0.008338104088988505)	(2, 0.0)	(3, 0.0)	(4, 0.0003503777782074957)	(5, 0.016627421398732925)	(6, 0.0)	(7, 0.0)	(8, 0.009868234892552884)	(9, 0.0)	(10, 0.0007384544312854181)	(12, 0.0)	(14, 0.0)	(16, 0.00249921364582182)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 7.86225114972698)	(36, 1.3305485248385912e-05)	(38, 1.3305485248385912e-05)	(40, 2.2175808747309852e-06)	(42, 0.0006719270050434885)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0019808654614388342)	(54, 0.001920881214928911)	(56, 0.00023150443714982865)	(58, 0.000637480377975044)	(60, 0.005912949332251904)	(62, 0.0)	(64, 0.0)	(66, 0.0006752263836656053)	(68, 0.005963372619213955)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.00015371640731535007)	(86, 0.0033297890142835267)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR1555695_1129_2	(1, 0.0)	(2, 0.004976251482896331)	(3, 0.009872670054302347)	(4, 0.014826745728451366)	(5, 0.011274181167132328)	(6, 0.014236869215772925)	(7, 0.00841793700047882)	(8, 0.002736494799418036)	(9, 0.0)	(10, 0.0)	(12, 4.4351617494619705e-06)	(14, 5.98746836177366e-05)	(16, 0.0039761225083926564)	(18, 0.0)	(20, 6.430984536719856e-05)	(22, 8.870323498923941e-06)	(24, 0.0011154431799896855)	(26, 0.002545782844191171)	(28, 0.0006630566815445646)	(30, 0.0013283309439638602)	(32, 0.00018405921260267178)	(34, 0.0008049818575273476)	(36, 0.00011531420548601122)	(38, 0.0003481601973327647)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 1.3305485248385912e-05)	(50, 0.0007943517772200945)	(52, 0.0007962339645874721)	(54, 0.0010369134960825184)	(56, 0.003434488715312055)	(58, 0.0011660106548708245)	(60, 0.0)	(62, 0.0)	(64, 0.0010037620002806003)	(66, 0.011850683031206868)	(68, 0.021911048949516232)	(70, 0.00936847018659764)	(72, 0.008949774693741475)	(74, 7.87051284122782e-05)	(76, 0.00019778094894322033)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0013562984888928684)	(90, 0.0)	(92, 0.0)	(94, 2.3358495364078355e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR1555696_1129_1	(1, 0.008517057500117615)	(2, 0.0)	(3, 0.0)	(4, 0.00033111670626807143)	(5, 0.017926290569901977)	(6, 0.0)	(7, 0.0)	(8, 0.010076065325463119)	(9, 0.0)	(10, 0.0007634079616736091)	(12, 0.0)	(14, 0.0)	(16, 0.0026857243952854684)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 7.8451458221878445)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.000627742088966552)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0019406717090673892)	(54, 0.0017374242685219163)	(56, 0.00024911541537954153)	(58, 0.000614230529862041)	(60, 0.005816506691155793)	(62, 0.0)	(64, 0.0)	(66, 0.0007938410929752723)	(68, 0.006226155544710028)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.00020104963520489809)	(86, 0.003364012765478159)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR1555696_1129_2	(1, 0.0)	(2, 0.004998942496019357)	(3, 0.01016804218831536)	(4, 0.015120996252908598)	(5, 0.01154309628795638)	(6, 0.014316198702951479)	(7, 0.008379092205839253)	(8, 0.002906468866130849)	(9, 0.0)	(10, 0.0)	(12, 4.598843142612104e-06)	(14, 7.818033342440576e-05)	(16, 0.004279223544200562)	(18, 0.0)	(20, 8.737801970962997e-05)	(22, 1.1497107856530258e-05)	(24, 0.001110620618940823)	(26, 0.0024787764538679235)	(28, 0.0007036230008196519)	(30, 0.0012646818642183283)	(32, 0.00017935488256187203)	(34, 0.0006990241576770397)	(36, 0.00010347397070877233)	(38, 0.00035181150040982593)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 1.379652942783631e-05)	(50, 0.0008120482938232731)	(52, 0.0007097761501985887)	(54, 0.0010920976323277154)	(56, 0.0032666849403603275)	(58, 0.0012101795574939035)	(60, 0.0)	(62, 0.0)	(64, 0.0010043881015420488)	(66, 0.012176173278164034)	(68, 0.02256144876912923)	(70, 0.0099681567926274)	(72, 0.009031033467969808)	(74, 6.168912463203328e-05)	(76, 0.00016196107808534187)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0014694657631051978)	(90, 0.0)	(92, 0.0)	(94, 3.3770618683709085e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR1555697_1129_1	(1, 0.008531384170196677)	(2, 0.0)	(3, 0.0)	(4, 0.00041442935861112415)	(5, 0.016995789858193576)	(6, 0.0)	(7, 0.0)	(8, 0.009942118451529494)	(9, 0.0)	(10, 0.0006823432874102347)	(12, 0.0)	(14, 0.0)	(16, 0.002689604675834821)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 7.868066957886316)	(36, 8.372310274972204e-06)	(38, 8.372310274972204e-06)	(40, 6.2792327062291535e-06)	(42, 0.0006404817360353736)	(44, 0.0)	(46, 0.0)	(48, 2.093077568743051e-06)	(50, 2.093572297583381e-06)	(52, 0.0021646819627466826)	(54, 0.0018856811171437757)	(56, 0.00023516772487593485)	(58, 0.0005822626444691891)	(60, 0.005938888000674617)	(62, 0.0)	(64, 0.0)	(66, 0.0006910140428211893)	(68, 0.006108535855496849)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.00014225962165406985)	(86, 0.0034023880952714584)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR1555697_1129_2	(1, 0.0)	(2, 0.005333161645157294)	(3, 0.010226777000878548)	(4, 0.015321327803199137)	(5, 0.01192216983156042)	(6, 0.01445479368973951)	(7, 0.008192305604060302)	(8, 0.0026916977534035638)	(9, 0.0)	(10, 0.0)	(12, 1.0465387843715257e-05)	(14, 6.697848219977763e-05)	(16, 0.003828238873231041)	(18, 0.0)	(20, 7.953694761223595e-05)	(22, 1.0465387843715257e-05)	(24, 0.0011218895768462757)	(26, 0.0024719246086855433)	(28, 0.0006676917444290334)	(30, 0.0012830565496394903)	(32, 0.00019674929146184681)	(34, 0.0008435102602034497)	(36, 0.00010465387843715256)	(38, 0.0003014031698989994)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 2.5116930824916614e-05)	(50, 0.0008230386141654872)	(52, 0.0007178744869926181)	(54, 0.0010984608543272982)	(56, 0.0032787420669316584)	(58, 0.0011635839519686085)	(60, 0.0)	(62, 0.0)	(64, 0.0009504594275248308)	(66, 0.011911185248012072)	(68, 0.022039172085068923)	(70, 0.009783585829092395)	(72, 0.008770195440682478)	(74, 6.317711984398998e-05)	(76, 0.0002320415949882518)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0014080623678981228)	(90, 0.0)	(92, 0.0)	(94, 1.215431162658357e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR1555736_1129_1	(1, 0.008361700419920726)	(2, 0.0)	(3, 0.0)	(4, 0.00039551487847439937)	(5, 0.01616452112025806)	(6, 0.0)	(7, 0.0)	(8, 0.010025442354372818)	(9, 0.0)	(10, 0.0007372913223734728)	(12, 0.0)	(14, 0.0)	(16, 0.0026482300558720653)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 7.858648485248951)	(36, 6.4486121490391205e-06)	(38, 8.598149532052159e-06)	(40, 6.4486121490391205e-06)	(42, 0.0006577584392019902)	(44, 0.0)	(46, 0.0)	(48, 2.1495373830130398e-06)	(50, 6.450563750244234e-06)	(52, 0.0019956512885481196)	(54, 0.001911918290776949)	(56, 0.0002482187873778373)	(58, 0.0006117135360641335)	(60, 0.006009512738272796)	(62, 0.0)	(64, 0.0)	(66, 0.0008138271584306488)	(68, 0.006272841116260471)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0001803678381609713)	(86, 0.0034274521545253032)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR1555736_1129_2	(1, 0.0)	(2, 0.005051412850080645)	(3, 0.0102532933169722)	(4, 0.015493865456757993)	(5, 0.011766567634613381)	(6, 0.014556667157764307)	(7, 0.008636841204946394)	(8, 0.0029491652894938912)	(9, 0.0)	(10, 0.0)	(12, 1.0747686915065201e-05)	(14, 6.233658410737817e-05)	(16, 0.0038455223782103286)	(18, 0.0)	(20, 8.168242055449552e-05)	(22, 8.598149532052159e-06)	(24, 0.0010919649905706244)	(26, 0.002433276317570761)	(28, 0.000690001499947186)	(30, 0.0013499094765321892)	(32, 0.00023215003736540833)	(34, 0.0008340205046090595)	(36, 8.598149532052161e-05)	(38, 0.00027943985979169523)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 3.009352336218256e-05)	(50, 0.0007312944557125926)	(52, 0.0007461084406946002)	(54, 0.0009860405845222636)	(56, 0.0033939516961517574)	(58, 0.001302946305278231)	(60, 0.0)	(62, 0.0)	(64, 0.0010993540811057708)	(66, 0.012079764141556738)	(68, 0.021423627648442505)	(70, 0.009369634832228552)	(72, 0.008646044430199163)	(74, 6.295489266202043e-05)	(76, 0.00023284794032545856)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0014149187556747116)	(90, 0.0)	(92, 0.0)	(94, 3.0499976197310244e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR1555737_1129_1	(1, 0.008023491538199298)	(2, 0.0)	(3, 0.0)	(4, 0.0004279771887293807)	(5, 0.017011012501516293)	(6, 0.0)	(7, 0.0)	(8, 0.010163377481846201)	(9, 0.0)	(10, 0.0007522023317061842)	(12, 0.0)	(14, 0.0)	(16, 0.0025786706371421775)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 7.863579374681233)	(36, 0.0)	(38, 2.1615009531786904e-06)	(40, 4.323001906357381e-06)	(42, 0.000628996777374999)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 2.1621779168423346e-06)	(52, 0.0020609485260137273)	(54, 0.0018251519200533169)	(56, 0.00022575532685431465)	(58, 0.0005978622186297345)	(60, 0.0058617873717633304)	(62, 0.0)	(64, 0.0)	(66, 0.0007640605029956973)	(68, 0.006219519691613617)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.00022209036884028154)	(86, 0.0033323806229354244)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
