Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR1555695_1	(1, 31.82777355058474)	(2, 32.09592415103611)	(3, 32.212233217742494)	(4, 35.77871372761202)	(5, 35.59041354345948)	(6, 35.544815191141865)	(7, 35.58727493602363)	(8, 35.5783324212715)	(9, 37.205644272865996)	(10, 37.12984780603956)	(12, 37.092515677817616)	(14, 38.352324456728326)	(16, 38.27188026899181)	(18, 37.89915469714071)	(20, 37.96164855719378)	(22, 37.690741923249035)	(24, 37.54505530580647)	(26, 37.275477318848424)	(28, 37.41082924851386)	(30, 37.441413210213604)	(32, 37.263857745539916)	(34, 34.02399922826392)	(36, 33.834586431522055)	(38, 35.77992487123416)	(40, 35.87027930858318)	(42, 35.94870617453911)	(44, 36.31945706023427)	(46, 36.0759427622681)	(48, 36.029056522203966)	(50, 36.01398373433199)	(52, 35.46722262826255)	(54, 35.15319280158877)	(56, 35.10710517159911)	(58, 34.72492303904898)	(60, 34.1063534502874)	(62, 34.2652101600631)	(64, 34.181272707379264)	(66, 33.90417982151164)	(68, 33.52106131057032)	(70, 33.06228097381184)	(72, 32.626851345150826)	(74, 32.20683365042841)	(76, 31.295183921536776)	(78, 31.67214728683981)	(80, 31.33979917349017)	(82, 31.410317641866758)	(84, 31.265112358735355)	(86, 31.024282499771083)	(88, 30.76467105395931)	(90, 30.478323110234836)	(92, 30.05792023548041)	(94, 29.742892610097485)	(96, 29.29273726214325)	(98, 28.70411210071164)	(100, 28.36368563104811)
SRR1555695_1129_1	(1, 32.0325912095449)	(2, 32.305563750748874)	(3, 32.41667218105111)	(4, 35.97890641507118)	(5, 35.80522778724635)	(6, 35.76458312229355)	(7, 35.799975047779995)	(8, 35.7895662110218)	(9, 37.454528282405555)	(10, 37.381116154579935)	(12, 37.34817339193897)	(14, 38.646467446888494)	(16, 38.57114265555842)	(18, 38.20848025545822)	(20, 38.27968260829378)	(22, 38.026272434600436)	(24, 37.89844273487685)	(26, 37.678763119430215)	(28, 37.85680880709583)	(30, 37.90105364807133)	(32, 37.751693189525284)	(34, 34.50623437381637)	(36, 34.341814545308104)	(38, 36.34595184159447)	(40, 36.462354435773804)	(42, 36.576213908205986)	(44, 36.96163644961399)	(46, 36.74353867895691)	(48, 36.73673396551538)	(50, 36.75705320674441)	(52, 36.26348418653778)	(54, 35.998483160249314)	(56, 36.0031419543091)	(58, 35.65846918913344)	(60, 35.07882827942899)	(62, 35.29581921020896)	(64, 35.2660688958002)	(66, 35.03251100079133)	(68, 34.70238768260451)	(70, 34.30752504256388)	(72, 33.93205235537732)	(74, 33.56933841721323)	(76, 32.6909566192421)	(78, 33.14575880708104)	(80, 32.88535301276231)	(82, 33.04298425785004)	(84, 32.98310585605775)	(86, 32.85543687567964)	(88, 32.74567365213349)	(90, 32.656486022489105)	(92, 32.50469446871285)	(94, 32.54030475300894)	(96, 32.58808167890681)	(98, 32.65988370447488)	(100, 32.495914459874015)
SRR1555695_1129_2	(1, 31.404454818386334)	(2, 31.613899743700873)	(3, 31.72060951363484)	(4, 35.22040842340112)	(5, 35.19690304186456)	(6, 35.17730370728074)	(7, 35.24148515471529)	(8, 35.253246227939286)	(9, 36.802232500758855)	(10, 36.72500453717047)	(12, 36.68755839999234)	(14, 37.90775653019911)	(16, 37.751860018134494)	(18, 37.65442450405578)	(20, 37.65699119868762)	(22, 37.52436068030414)	(24, 37.43554802987454)	(26, 37.32311829835972)	(28, 37.176698729042315)	(30, 37.003355244215086)	(32, 37.09828351700521)	(34, 37.0548133879083)	(36, 36.981050993183516)	(38, 36.864843346538876)	(40, 36.764239641191864)	(42, 36.633617674509864)	(44, 36.470137124556906)	(46, 36.28334913433626)	(48, 36.03398489259724)	(50, 35.18012298229655)	(52, 35.41535328707156)	(54, 35.79127906905249)	(56, 35.63939984651262)	(58, 35.67261098755563)	(60, 35.59568757993013)	(62, 35.2409722434737)	(64, 34.91783523877354)	(66, 34.56757809746952)	(68, 34.24299846738822)	(70, 33.89472730175868)	(72, 33.59466620642978)	(74, 33.35726501871386)	(76, 33.057098301221416)	(78, 32.861838428743646)	(80, 32.63675038469496)	(82, 32.421337270938466)	(84, 32.14258634690003)	(86, 31.916374565002293)	(88, 31.789939619148985)	(90, 31.831434395466594)	(92, 31.813384526660833)	(94, 31.848422612798696)	(96, 31.977493778545018)	(98, 32.1698018943553)	(100, 31.894400663360045)
SRR1555696_1129_1	(1, 32.06149738608654)	(2, 32.33020898660858)	(3, 32.437603793015455)	(4, 35.992039494497)	(5, 35.8164180907636)	(6, 35.77430538038434)	(7, 35.81278316514368)	(8, 35.80289008778686)	(9, 37.46830907297946)	(10, 37.396005417253264)	(12, 37.36367580289708)	(14, 38.67415920155621)	(16, 38.601661198718816)	(18, 38.233878306976365)	(20, 38.31764959197454)	(22, 38.070910459190344)	(24, 37.94930773384232)	(26, 37.72623797293296)	(28, 37.91616594079293)	(30, 37.968127487657966)	(32, 37.82684350720839)	(34, 34.59168534218543)	(36, 34.43337023598366)	(38, 36.45159763580832)	(40, 36.57492108730081)	(42, 36.69161822666861)	(44, 37.08819817739568)	(46, 36.87494549796021)	(48, 36.87462774089327)	(50, 36.9010013675674)	(52, 36.41421367951355)	(54, 36.16062911868926)	(56, 36.18177423926403)	(58, 35.85225984186584)	(60, 35.282266454065706)	(62, 35.518908258980474)	(64, 35.50464681151615)	(66, 35.285346720786194)	(68, 34.96393048382019)	(70, 34.573357310162436)	(72, 34.19771759141701)	(74, 33.83501771728051)	(76, 32.923876481023306)	(78, 33.36384199491502)	(80, 33.08316126352288)	(82, 33.238023167979904)	(84, 33.17186746893533)	(86, 33.04098736952692)	(88, 32.92572296966119)	(90, 32.83397482051818)	(92, 32.68126616047992)	(94, 32.71182725607771)	(96, 32.74547503929947)	(98, 32.803989974658535)	(100, 32.65856887314078)
SRR1555696_1129_2	(1, 31.559724509060846)	(2, 31.758216327649915)	(3, 31.86459400791893)	(4, 35.37132673727393)	(5, 35.34565585688658)	(6, 35.33007883934765)	(7, 35.390637831490935)	(8, 35.40913929937268)	(9, 36.975608241844334)	(10, 36.90662538775721)	(12, 36.87040259974442)	(14, 38.13147899393316)	(16, 37.991390137845265)	(18, 37.90235161384213)	(20, 37.916941535688935)	(22, 37.80072396368404)	(24, 37.71525961458292)	(26, 37.61047492759006)	(28, 37.4800160490428)	(30, 37.32400100825037)	(32, 37.421850087922984)	(34, 37.38540641747406)	(36, 37.31650243354683)	(38, 37.21790928404796)	(40, 37.13466914243854)	(42, 37.018591030351956)	(44, 36.87110215276906)	(46, 36.69457220158441)	(48, 36.46521103930222)	(50, 35.61392699846334)	(52, 35.83175311481679)	(54, 36.20840640351484)	(56, 36.06047933461831)	(58, 36.09239731538766)	(60, 36.01432534707641)	(62, 35.67412517727814)	(64, 35.35625039347603)	(66, 35.01429830174528)	(68, 34.69285989104896)	(70, 34.34226773437966)	(72, 34.035526971066304)	(74, 33.79062051644316)	(76, 33.48409167824806)	(78, 33.270484729945444)	(80, 33.03681652741797)	(82, 32.81015790760519)	(84, 32.52526430449059)	(86, 32.29451118265058)	(88, 32.16094605488257)	(90, 32.185484663891295)	(92, 32.151784868883055)	(94, 32.17231750423244)	(96, 32.27370904150302)	(98, 32.429632812541755)	(100, 32.18440615544597)
SRR1555697_1129_1	(1, 32.05508745736244)	(2, 32.321053023975914)	(3, 32.43211448263581)	(4, 35.997704982307425)	(5, 35.823568505528804)	(6, 35.78181583604907)	(7, 35.82120479303042)	(8, 35.81003186124536)	(9, 37.4745219086406)	(10, 37.40244688721481)	(12, 37.369342165395075)	(14, 38.67747355406958)	(16, 38.60556857426547)	(18, 38.24144198141774)	(20, 38.31670369251117)	(22, 38.06789144077371)	(24, 37.94275922629639)	(26, 37.72571275465795)	(28, 37.9117483564841)	(30, 37.95944017542669)	(32, 37.81403573025739)	(34, 34.569396970538136)	(36, 34.402718024483065)	(38, 36.42005433713092)	(40, 36.53888630440322)	(42, 36.653606211483975)	(44, 37.04188377985864)	(46, 36.82358261287162)	(48, 36.817239101753245)	(50, 36.8376192412316)	(52, 36.34392454325037)	(54, 36.07896722323906)	(56, 36.08892356908376)	(58, 35.750205267132486)	(60, 35.17091407216438)	(62, 35.39517891496764)	(64, 35.37345313818652)	(66, 35.148420684775985)	(68, 34.820510387666445)	(70, 34.42983018759834)	(72, 34.05691497304291)	(74, 33.69361343685219)	(76, 32.80031977529572)	(78, 33.25176839605709)	(80, 32.98456560606422)	(82, 33.13861629067928)	(84, 33.07199859696948)	(86, 32.93937070004238)	(88, 32.82676358695845)	(90, 32.73588045061463)	(92, 32.57758314830629)	(94, 32.61054582199764)	(96, 32.64862425879529)	(98, 32.71555763048022)	(100, 32.55691514454874)
SRR1555697_1129_2	(1, 31.444370247170273)	(2, 31.644351962044635)	(3, 31.75483208934059)	(4, 35.26280363805347)	(5, 35.23945971137549)	(6, 35.21913404441318)	(7, 35.28675037107126)	(8, 35.301384415923984)	(9, 36.852031178985804)	(10, 36.777782538366424)	(12, 36.739502640396424)	(14, 37.97500463512027)	(16, 37.825526077255745)	(18, 37.73074108048599)	(20, 37.73757472757863)	(22, 37.61220346271217)	(24, 37.525206807575714)	(26, 37.413659252581255)	(28, 37.27171514604093)	(30, 37.10349517162587)	(32, 37.19910203623377)	(34, 37.15897166931602)	(36, 37.08184760059425)	(38, 36.96955231456913)	(40, 36.87304630569925)	(42, 36.74699324174556)	(44, 36.59079990266352)	(46, 36.405142896708)	(48, 36.156929076778226)	(50, 35.30436917039384)	(52, 35.54246959667505)	(54, 35.91610218378561)	(56, 35.771049560816685)	(58, 35.80139080657871)	(60, 35.71574385355545)	(62, 35.36793645455979)	(64, 35.05082277488896)	(66, 34.706874294070005)	(68, 34.38444642841646)	(70, 34.03406669426325)	(72, 33.73632468998864)	(74, 33.5018918075064)	(76, 33.199231323931706)	(78, 33.00216089856807)	(80, 32.777108153151076)	(82, 32.55695363312093)	(84, 32.27500165479141)	(86, 32.04879017606902)	(88, 31.919279057322676)	(90, 31.956311368054443)	(92, 31.93189534319918)	(94, 31.962562555720698)	(96, 32.08110909357814)	(98, 32.26288097612459)	(100, 31.99530847496435)
SRR1555736_1129_1	(1, 32.05960469405656)	(2, 32.33628149550538)	(3, 32.44657146422918)	(4, 36.00407788736931)	(5, 35.835080742427856)	(6, 35.792397980483834)	(7, 35.827053982922955)	(8, 35.819270379086824)	(9, 37.48760067304595)	(10, 37.41671236941399)	(12, 37.384735335415314)	(14, 38.69171177936598)	(16, 38.61486237866345)	(18, 38.24801383820578)	(20, 38.309783503323764)	(22, 38.05005907143682)	(24, 37.91533767577143)	(26, 37.69088457289487)	(28, 37.86704767360083)	(30, 37.89958543592124)	(32, 37.73768664379358)	(34, 34.484827877298734)	(36, 34.27015783494124)	(38, 36.26864215314173)	(40, 36.375669618511715)	(42, 36.4518398513827)	(44, 36.80405204133182)	(46, 36.55348807795633)	(48, 36.512336990369946)	(50, 36.52106561829512)	(52, 35.99446620034516)	(54, 35.69431795528085)	(56, 35.6742635963421)	(58, 35.30497038721761)	(60, 34.705976148028526)	(62, 34.895616447436296)	(64, 34.85856062756104)	(66, 34.62893121389359)	(68, 34.307418714774236)	(70, 33.93309465785912)	(72, 33.58411308133897)	(74, 33.25310365781773)	(76, 32.40330302339777)	(78, 32.89294287802639)	(80, 32.66663995327804)	(82, 32.84678330557309)	(84, 32.80828970161413)	(86, 32.695802557424)	(88, 32.595900024185205)	(90, 32.51519295000925)	(92, 32.370996669221185)	(94, 32.41720688742493)	(96, 32.47027201507626)	(98, 32.56243602767809)	(100, 32.38589875912038)
SRR1555736_1129_2	(1, 31.260435326890253)	(2, 31.43355691818074)	(3, 31.545091168114073)	(4, 35.05597846748216)	(5, 35.0072375783501)	(6, 34.99328312558556)	(7, 35.06224239137926)	(8, 35.08867336098527)	(9, 36.593260667218985)	(10, 36.54720560355162)	(12, 36.497927588018285)	(14, 37.6847081996554)	(16, 37.532918552867805)	(18, 37.41859525668464)	(20, 37.42848274172977)	(22, 37.317909700428004)	(24, 37.170918401454394)	(26, 37.07432534942127)	(28, 36.92993219628251)	(30, 36.72958495141551)	(32, 36.83821728289103)	(34, 36.773906262715855)	(36, 36.6752552006015)	(38, 36.54947005520313)	(40, 36.4529327836651)	(42, 36.308871755547386)	(44, 36.107586538547935)	(46, 35.886058698105174)	(48, 35.62369813805782)	(50, 34.750264169506316)	(52, 34.94609749476915)	(54, 35.27926641234667)	(56, 35.069719164896036)	(58, 35.09719803445518)	(60, 35.03793058095518)	(62, 34.67900564471754)	(64, 34.35206931473863)	(66, 34.03766316554969)	(68, 33.735570085997026)	(70, 33.412109642708124)	(72, 33.143968402246216)	(74, 32.94129593000281)	(76, 32.67310758901452)	(78, 32.50975387138212)	(80, 32.316116067479996)	(82, 32.1202141086157)	(84, 31.85775930302993)	(86, 31.641893963487725)	(88, 31.5269357034227)	(90, 31.58074572204971)	(92, 31.57416748079421)	(94, 31.621730488789076)	(96, 31.769843950892543)	(98, 31.992726431594782)	(100, 31.695389011720124)
SRR1555737_1129_1	(1, 32.04059108577986)	(2, 32.323326607030566)	(3, 32.43306173065156)	(4, 35.993532616228016)	(5, 35.81746708055663)	(6, 35.772697813434284)	(7, 35.80783737766013)	(8, 35.79769176771612)	(9, 37.45985638814747)	(10, 37.388064576483714)	(12, 37.35812731275198)	(14, 38.66038110114986)	(16, 38.583343694127905)	(18, 38.21995386146526)	(20, 38.27198393451448)	(22, 37.99884242977953)	(24, 37.862195127855806)	(26, 37.64134852326687)	(28, 37.81266284207806)	(30, 37.83616291820613)	(32, 37.66305390515351)	(34, 34.40410386461672)	(36, 34.164343694387284)	(38, 36.161318176658085)	(40, 36.25955361806295)	(42, 36.31905221728064)	(44, 36.655965565387696)	(46, 36.390423292783865)	(48, 36.33990324430053)	(50, 36.34678052298257)	(52, 35.81015306440615)	(54, 35.497679106434155)	(56, 35.46919163166068)	(58, 35.09223894765758)	(60, 34.48718843073061)	(62, 34.662854107726396)	(64, 34.62001621855316)	(66, 34.39944068245973)	(68, 34.08359085076283)	(70, 33.71775892632378)	(72, 33.37968972811997)	(74, 33.067735251817496)	(76, 32.224619606687966)	(78, 32.732767293541244)	(80, 32.52545693089433)	(82, 32.71953637698437)	(84, 32.69015242421381)	(86, 32.586704042666994)	(88, 32.492325878721196)	(90, 32.42049691857845)	(92, 32.285084629860464)	(94, 32.33377199649967)	(96, 32.398024480964864)	(98, 32.50091188791952)	(100, 32.324695700267995)
