Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR1555695_1	(0.0, 33.0)	(1.0, 25.5)	(2.0, 21.0)	(3.0, 23.5)	(4.0, 26.0)	(5.0, 45.5)	(6.0, 62.5)	(7.0, 75.5)	(8.0, 120.0)	(9.0, 189.0)	(10.0, 263.5)	(11.0, 417.5)	(12.0, 595.5)	(13.0, 804.5)	(14.0, 1140.5)	(15.0, 1595.0)	(16.0, 2155.0)	(17.0, 2926.0)	(18.0, 3970.5)	(19.0, 5299.0)	(20.0, 7066.5)	(21.0, 9566.5)	(22.0, 13087.0)	(23.0, 17541.5)	(24.0, 23412.5)	(25.0, 31443.0)	(26.0, 41744.5)	(27.0, 55020.0)	(28.0, 71667.5)	(29.0, 91649.5)	(30.0, 116362.5)	(31.0, 146022.5)	(32.0, 183187.0)	(33.0, 232181.5)	(34.0, 294021.0)	(35.0, 375654.0)	(36.0, 473947.0)	(37.0, 585125.0)	(38.0, 715250.0)	(39.0, 862093.0)	(40.0, 1015264.0)	(41.0, 1156774.5)	(42.0, 1281035.0)	(43.0, 1392064.5)	(44.0, 1472936.0)	(45.0, 1505170.0)	(46.0, 1485751.5)	(47.0, 1423965.5)	(48.0, 1326997.0)	(49.0, 1203004.5)	(50.0, 1068029.0)	(51.0, 932174.0)	(52.0, 803526.5)	(53.0, 684371.5)	(54.0, 576367.0)	(55.0, 475014.0)	(56.0, 379032.5)	(57.0, 299754.5)	(58.0, 237816.5)	(59.0, 188837.0)	(60.0, 152223.5)	(61.0, 124342.5)	(62.0, 100884.0)	(63.0, 79157.5)	(64.0, 60846.0)	(65.0, 45884.0)	(66.0, 34158.5)	(67.0, 25632.5)	(68.0, 19225.0)	(69.0, 15374.5)	(70.0, 12901.0)	(71.0, 10180.5)	(72.0, 7431.5)	(73.0, 5605.0)	(74.0, 4531.0)	(75.0, 3730.0)	(76.0, 2634.5)	(77.0, 1465.5)	(78.0, 804.0)	(79.0, 498.0)	(80.0, 323.5)	(81.0, 216.0)	(82.0, 147.0)	(83.0, 117.5)	(84.0, 91.0)	(85.0, 69.0)	(86.0, 41.0)	(87.0, 23.0)	(88.0, 20.0)	(89.0, 14.0)	(90.0, 7.0)	(91.0, 6.0)	(92.0, 3.5)	(93.0, 1.5)	(94.0, 1.0)	(95.0, 0.5)	(96.0, 0.5)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 1.0)
SRR1555695_1129_1	(0.0, 64.0)	(1.0, 43.0)	(2.0, 23.0)	(3.0, 27.5)	(4.0, 37.0)	(5.0, 44.5)	(6.0, 57.5)	(7.0, 83.5)	(8.0, 133.5)	(9.0, 207.0)	(10.0, 288.5)	(11.0, 427.0)	(12.0, 599.0)	(13.0, 827.0)	(14.0, 1159.5)	(15.0, 1610.0)	(16.0, 2219.5)	(17.0, 3018.0)	(18.0, 4030.5)	(19.0, 5338.0)	(20.0, 7029.5)	(21.0, 9464.5)	(22.0, 12981.5)	(23.0, 17390.5)	(24.0, 23172.5)	(25.0, 31038.5)	(26.0, 41108.5)	(27.0, 54197.5)	(28.0, 70703.5)	(29.0, 90568.5)	(30.0, 114922.0)	(31.0, 144437.5)	(32.0, 181645.5)	(33.0, 229944.5)	(34.0, 291562.5)	(35.0, 373141.0)	(36.0, 470022.0)	(37.0, 579185.0)	(38.0, 706619.0)	(39.0, 849346.0)	(40.0, 996237.0)	(41.0, 1130531.5)	(42.0, 1248372.5)	(43.0, 1352635.5)	(44.0, 1426242.5)	(45.0, 1452688.5)	(46.0, 1429416.5)	(47.0, 1365244.0)	(48.0, 1268271.0)	(49.0, 1144876.0)	(50.0, 1014369.5)	(51.0, 885191.5)	(52.0, 759388.5)	(53.0, 643134.0)	(54.0, 538860.0)	(55.0, 441365.0)	(56.0, 349914.0)	(57.0, 274841.0)	(58.0, 216455.0)	(59.0, 170209.0)	(60.0, 136053.0)	(61.0, 110445.5)	(62.0, 89354.0)	(63.0, 69482.5)	(64.0, 52125.5)	(65.0, 38517.0)	(66.0, 28235.5)	(67.0, 21257.0)	(68.0, 16133.0)	(69.0, 12742.5)	(70.0, 10294.5)	(71.0, 7826.5)	(72.0, 5520.0)	(73.0, 4072.5)	(74.0, 3349.0)	(75.0, 2763.5)	(76.0, 1883.5)	(77.0, 932.0)	(78.0, 420.0)	(79.0, 218.0)	(80.0, 105.5)	(81.0, 54.0)	(82.0, 33.0)	(83.0, 22.0)	(84.0, 13.5)	(85.0, 8.5)	(86.0, 5.5)	(87.0, 3.5)	(88.0, 1.5)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1555695_1129_2	(0.0, 75.0)	(1.0, 48.5)	(2.0, 24.5)	(3.0, 35.5)	(4.0, 43.5)	(5.0, 51.5)	(6.0, 69.5)	(7.0, 108.5)	(8.0, 164.0)	(9.0, 224.0)	(10.0, 316.5)	(11.0, 451.0)	(12.0, 629.0)	(13.0, 866.5)	(14.0, 1181.5)	(15.0, 1661.0)	(16.0, 2321.5)	(17.0, 3084.0)	(18.0, 4078.5)	(19.0, 5540.0)	(20.0, 7442.0)	(21.0, 9981.5)	(22.0, 13342.0)	(23.0, 17869.0)	(24.0, 24018.0)	(25.0, 32202.5)	(26.0, 42577.5)	(27.0, 56075.5)	(28.0, 73536.5)	(29.0, 94586.5)	(30.0, 119820.0)	(31.0, 150305.0)	(32.0, 189334.5)	(33.0, 240349.5)	(34.0, 305337.5)	(35.0, 390516.0)	(36.0, 490950.5)	(37.0, 604106.0)	(38.0, 735633.5)	(39.0, 880570.5)	(40.0, 1027651.0)	(41.0, 1162060.5)	(42.0, 1279784.5)	(43.0, 1383199.0)	(44.0, 1454034.0)	(45.0, 1475452.0)	(46.0, 1448375.5)	(47.0, 1381584.5)	(48.0, 1280880.0)	(49.0, 1151708.5)	(50.0, 1018537.5)	(51.0, 887425.0)	(52.0, 760569.5)	(53.0, 645526.0)	(54.0, 541389.5)	(55.0, 444588.0)	(56.0, 354312.0)	(57.0, 280677.5)	(58.0, 221587.0)	(59.0, 173517.5)	(60.0, 138733.0)	(61.0, 113188.0)	(62.0, 92605.0)	(63.0, 73202.5)	(64.0, 55506.0)	(65.0, 41721.5)	(66.0, 30928.0)	(67.0, 23434.0)	(68.0, 17942.5)	(69.0, 14018.0)	(70.0, 11134.0)	(71.0, 8462.0)	(72.0, 6173.0)	(73.0, 4717.5)	(74.0, 3817.5)	(75.0, 3081.0)	(76.0, 2078.0)	(77.0, 991.0)	(78.0, 457.0)	(79.0, 249.0)	(80.0, 122.0)	(81.0, 63.0)	(82.0, 38.5)	(83.0, 21.5)	(84.0, 10.0)	(85.0, 5.0)	(86.0, 3.0)	(87.0, 1.5)	(88.0, 0.5)	(89.0, 0.0)	(90.0, 1.0)	(91.0, 1.5)	(92.0, 0.5)	(93.0, 0.0)	(94.0, 0.5)	(95.0, 0.5)	(96.0, 0.5)	(97.0, 1.0)	(98.0, 0.5)	(99.0, 0.0)	(100.0, 0.0)
SRR1555696_1129_1	(0.0, 43.0)	(1.0, 31.5)	(2.0, 19.0)	(3.0, 29.5)	(4.0, 52.0)	(5.0, 76.5)	(6.0, 97.0)	(7.0, 136.0)	(8.0, 200.0)	(9.0, 259.0)	(10.0, 360.0)	(11.0, 532.0)	(12.0, 775.5)	(13.0, 1059.5)	(14.0, 1494.5)	(15.0, 2144.5)	(16.0, 2962.0)	(17.0, 4054.5)	(18.0, 5595.0)	(19.0, 7526.0)	(20.0, 10227.5)	(21.0, 14131.0)	(22.0, 19067.0)	(23.0, 25333.5)	(24.0, 33638.0)	(25.0, 44387.0)	(26.0, 57910.5)	(27.0, 74361.0)	(28.0, 94124.5)	(29.0, 118186.0)	(30.0, 147561.5)	(31.0, 183457.5)	(32.0, 228904.0)	(33.0, 285506.0)	(34.0, 356670.5)	(35.0, 446612.0)	(36.0, 552302.5)	(37.0, 670007.5)	(38.0, 798885.0)	(39.0, 935616.5)	(40.0, 1068451.0)	(41.0, 1180918.5)	(42.0, 1268424.0)	(43.0, 1327567.0)	(44.0, 1351582.0)	(45.0, 1335761.0)	(46.0, 1283865.5)	(47.0, 1202922.0)	(48.0, 1097558.0)	(49.0, 974568.5)	(50.0, 852728.0)	(51.0, 738739.0)	(52.0, 627417.5)	(53.0, 528385.5)	(54.0, 444576.0)	(55.0, 370984.5)	(56.0, 303016.0)	(57.0, 242044.5)	(58.0, 189241.5)	(59.0, 146856.0)	(60.0, 115142.5)	(61.0, 90630.5)	(62.0, 71424.5)	(63.0, 54680.0)	(64.0, 40631.0)	(65.0, 29858.0)	(66.0, 21429.0)	(67.0, 15780.5)	(68.0, 11859.5)	(69.0, 9176.0)	(70.0, 7231.5)	(71.0, 5369.0)	(72.0, 3769.5)	(73.0, 2779.5)	(74.0, 2321.0)	(75.0, 1944.0)	(76.0, 1264.5)	(77.0, 568.5)	(78.0, 276.0)	(79.0, 151.5)	(80.0, 86.5)	(81.0, 51.5)	(82.0, 29.5)	(83.0, 14.5)	(84.0, 8.5)	(85.0, 6.0)	(86.0, 4.5)	(87.0, 2.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.5)	(98.0, 1.0)	(99.0, 0.5)	(100.0, 0.0)
SRR1555696_1129_2	(0.0, 53.0)	(1.0, 42.0)	(2.0, 26.5)	(3.0, 31.5)	(4.0, 51.0)	(5.0, 73.5)	(6.0, 110.5)	(7.0, 163.5)	(8.0, 249.0)	(9.0, 342.5)	(10.0, 438.0)	(11.0, 602.5)	(12.0, 859.5)	(13.0, 1155.5)	(14.0, 1579.5)	(15.0, 2221.0)	(16.0, 3069.0)	(17.0, 4184.0)	(18.0, 5676.5)	(19.0, 7821.0)	(20.0, 10732.0)	(21.0, 14531.5)	(22.0, 19486.5)	(23.0, 25939.5)	(24.0, 34703.0)	(25.0, 45961.5)	(26.0, 59548.5)	(27.0, 76545.0)	(28.0, 97678.5)	(29.0, 122782.0)	(30.0, 152831.0)	(31.0, 189786.0)	(32.0, 236159.0)	(33.0, 293119.0)	(34.0, 365633.0)	(35.0, 458029.5)	(36.0, 566825.0)	(37.0, 687009.0)	(38.0, 816696.0)	(39.0, 953992.5)	(40.0, 1086879.0)	(41.0, 1198528.5)	(42.0, 1283389.5)	(43.0, 1342150.0)	(44.0, 1366309.0)	(45.0, 1348742.0)	(46.0, 1294363.0)	(47.0, 1212770.5)	(48.0, 1106064.0)	(49.0, 979756.0)	(50.0, 857604.5)	(51.0, 742937.5)	(52.0, 631150.5)	(53.0, 531387.5)	(54.0, 446342.5)	(55.0, 372775.0)	(56.0, 306332.5)	(57.0, 245882.0)	(58.0, 192635.5)	(59.0, 149845.5)	(60.0, 117776.5)	(61.0, 93259.5)	(62.0, 73716.0)	(63.0, 56845.5)	(64.0, 42380.5)	(65.0, 31464.5)	(66.0, 22979.0)	(67.0, 16788.5)	(68.0, 12482.5)	(69.0, 9721.5)	(70.0, 7815.5)	(71.0, 5875.0)	(72.0, 4169.0)	(73.0, 3042.0)	(74.0, 2448.5)	(75.0, 2137.0)	(76.0, 1503.0)	(77.0, 678.0)	(78.0, 305.0)	(79.0, 174.0)	(80.0, 106.5)	(81.0, 64.0)	(82.0, 39.0)	(83.0, 16.5)	(84.0, 6.5)	(85.0, 7.0)	(86.0, 5.0)	(87.0, 1.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.5)	(96.0, 0.5)	(97.0, 1.0)	(98.0, 2.0)	(99.0, 1.5)	(100.0, 1.0)
SRR1555697_1129_1	(0.0, 43.0)	(1.0, 29.5)	(2.0, 16.0)	(3.0, 21.5)	(4.0, 33.0)	(5.0, 48.0)	(6.0, 70.5)	(7.0, 95.0)	(8.0, 138.0)	(9.0, 201.0)	(10.0, 267.5)	(11.0, 383.0)	(12.0, 562.5)	(13.0, 793.0)	(14.0, 1170.5)	(15.0, 1769.0)	(16.0, 2626.5)	(17.0, 3619.5)	(18.0, 4837.5)	(19.0, 6492.5)	(20.0, 8896.0)	(21.0, 12343.0)	(22.0, 16733.5)	(23.0, 22449.0)	(24.0, 30303.5)	(25.0, 40839.5)	(26.0, 53396.0)	(27.0, 68352.5)	(28.0, 88049.0)	(29.0, 111624.0)	(30.0, 139973.5)	(31.0, 176170.5)	(32.0, 223844.0)	(33.0, 285668.0)	(34.0, 366472.5)	(35.0, 467446.0)	(36.0, 584236.0)	(37.0, 714671.0)	(38.0, 858628.0)	(39.0, 1013226.5)	(40.0, 1163688.0)	(41.0, 1292846.0)	(42.0, 1394138.0)	(43.0, 1468223.0)	(44.0, 1507150.0)	(45.0, 1498019.5)	(46.0, 1443970.0)	(47.0, 1358422.0)	(48.0, 1245100.5)	(49.0, 1106875.5)	(50.0, 970238.0)	(51.0, 843176.0)	(52.0, 715898.5)	(53.0, 599782.0)	(54.0, 500629.5)	(55.0, 412680.0)	(56.0, 333417.5)	(57.0, 266025.5)	(58.0, 209330.5)	(59.0, 162900.0)	(60.0, 128669.0)	(61.0, 101773.0)	(62.0, 78750.5)	(63.0, 59984.0)	(64.0, 44898.5)	(65.0, 33762.5)	(66.0, 25353.5)	(67.0, 18855.5)	(68.0, 14391.0)	(69.0, 11729.0)	(70.0, 9597.5)	(71.0, 7261.5)	(72.0, 5156.0)	(73.0, 3836.0)	(74.0, 3162.0)	(75.0, 2591.0)	(76.0, 1735.5)	(77.0, 784.0)	(78.0, 324.5)	(79.0, 153.0)	(80.0, 80.0)	(81.0, 58.0)	(82.0, 36.5)	(83.0, 17.0)	(84.0, 9.5)	(85.0, 6.5)	(86.0, 4.0)	(87.0, 3.0)	(88.0, 2.0)	(89.0, 0.5)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1555697_1129_2	(0.0, 56.0)	(1.0, 39.0)	(2.0, 23.0)	(3.0, 29.5)	(4.0, 40.5)	(5.0, 62.5)	(6.0, 98.0)	(7.0, 135.0)	(8.0, 174.5)	(9.0, 233.0)	(10.0, 319.0)	(11.0, 443.5)	(12.0, 644.5)	(13.0, 875.0)	(14.0, 1261.0)	(15.0, 1864.5)	(16.0, 2681.5)	(17.0, 3810.0)	(18.0, 5220.5)	(19.0, 7011.0)	(20.0, 9475.5)	(21.0, 12917.5)	(22.0, 17417.5)	(23.0, 23417.5)	(24.0, 31680.5)	(25.0, 42520.5)	(26.0, 55890.0)	(27.0, 71723.0)	(28.0, 92066.5)	(29.0, 116209.5)	(30.0, 145680.5)	(31.0, 183854.0)	(32.0, 233589.0)	(33.0, 296761.0)	(34.0, 378570.0)	(35.0, 481529.0)	(36.0, 600879.0)	(37.0, 733448.0)	(38.0, 879757.0)	(39.0, 1037528.0)	(40.0, 1189491.5)	(41.0, 1317832.5)	(42.0, 1419459.0)	(43.0, 1492411.0)	(44.0, 1530034.0)	(45.0, 1521711.5)	(46.0, 1465576.5)	(47.0, 1378115.5)	(48.0, 1263488.0)	(49.0, 1122240.5)	(50.0, 985567.0)	(51.0, 857286.0)	(52.0, 726739.5)	(53.0, 609100.5)	(54.0, 509862.0)	(55.0, 422283.5)	(56.0, 341620.5)	(57.0, 273689.0)	(58.0, 216326.0)	(59.0, 168626.0)	(60.0, 133087.0)	(61.0, 104993.0)	(62.0, 82333.0)	(63.0, 63503.0)	(64.0, 47648.0)	(65.0, 36070.0)	(66.0, 27323.5)	(67.0, 20794.0)	(68.0, 15837.5)	(69.0, 12638.5)	(70.0, 10289.0)	(71.0, 7902.0)	(72.0, 5762.0)	(73.0, 4260.0)	(74.0, 3460.0)	(75.0, 2875.5)	(76.0, 1966.5)	(77.0, 860.0)	(78.0, 376.5)	(79.0, 210.5)	(80.0, 113.5)	(81.0, 58.5)	(82.0, 18.5)	(83.0, 8.5)	(84.0, 12.0)	(85.0, 9.0)	(86.0, 3.5)	(87.0, 2.0)	(88.0, 1.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.5)	(92.0, 0.5)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.5)	(96.0, 1.0)	(97.0, 0.5)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 2.5)
SRR1555736_1129_1	(0.0, 143.0)	(1.0, 86.0)	(2.0, 26.5)	(3.0, 36.5)	(4.0, 52.5)	(5.0, 70.5)	(6.0, 97.0)	(7.0, 123.0)	(8.0, 169.0)	(9.0, 241.0)	(10.0, 319.0)	(11.0, 407.0)	(12.0, 586.0)	(13.0, 839.0)	(14.0, 1146.0)	(15.0, 1659.5)	(16.0, 2368.0)	(17.0, 3220.5)	(18.0, 4333.0)	(19.0, 5718.0)	(20.0, 7695.0)	(21.0, 10557.0)	(22.0, 14088.5)	(23.0, 18583.0)	(24.0, 24324.5)	(25.0, 32189.5)	(26.0, 41520.5)	(27.0, 51645.0)	(28.0, 64262.0)	(29.0, 79404.0)	(30.0, 98189.0)	(31.0, 122581.5)	(32.0, 153804.5)	(33.0, 192222.0)	(34.0, 244281.0)	(35.0, 315905.0)	(36.0, 397148.5)	(37.0, 486029.0)	(38.0, 588038.5)	(39.0, 711800.5)	(40.0, 836474.5)	(41.0, 947188.0)	(42.0, 1058238.0)	(43.0, 1167778.0)	(44.0, 1272630.5)	(45.0, 1340250.5)	(46.0, 1360522.5)	(47.0, 1365136.0)	(48.0, 1315143.5)	(49.0, 1215580.0)	(50.0, 1130650.0)	(51.0, 1048214.5)	(52.0, 944493.5)	(53.0, 836487.5)	(54.0, 741552.5)	(55.0, 633851.5)	(56.0, 525851.0)	(57.0, 435287.5)	(58.0, 349716.0)	(59.0, 281665.5)	(60.0, 235632.0)	(61.0, 204147.0)	(62.0, 177470.0)	(63.0, 142063.0)	(64.0, 106690.0)	(65.0, 82969.0)	(66.0, 66514.0)	(67.0, 53924.5)	(68.0, 44162.5)	(69.0, 40534.5)	(70.0, 38006.0)	(71.0, 31712.0)	(72.0, 23617.5)	(73.0, 18370.0)	(74.0, 16493.5)	(75.0, 14560.5)	(76.0, 9672.0)	(77.0, 3899.5)	(78.0, 1304.0)	(79.0, 625.0)	(80.0, 312.0)	(81.0, 146.0)	(82.0, 63.0)	(83.0, 34.0)	(84.0, 18.0)	(85.0, 7.0)	(86.0, 4.5)	(87.0, 4.5)	(88.0, 2.5)	(89.0, 1.0)	(90.0, 0.5)	(91.0, 1.5)	(92.0, 1.5)	(93.0, 1.0)	(94.0, 0.5)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1555736_1129_2	(0.0, 149.0)	(1.0, 92.5)	(2.0, 31.0)	(3.0, 36.5)	(4.0, 58.0)	(5.0, 81.5)	(6.0, 114.0)	(7.0, 162.0)	(8.0, 216.5)	(9.0, 297.0)	(10.0, 399.5)	(11.0, 518.0)	(12.0, 662.0)	(13.0, 875.5)	(14.0, 1183.0)	(15.0, 1738.0)	(16.0, 2531.0)	(17.0, 3464.5)	(18.0, 4636.5)	(19.0, 5995.5)	(20.0, 7939.0)	(21.0, 10848.0)	(22.0, 14443.0)	(23.0, 19021.0)	(24.0, 25012.0)	(25.0, 33446.0)	(26.0, 43231.5)	(27.0, 53796.5)	(28.0, 67577.0)	(29.0, 83887.0)	(30.0, 103789.5)	(31.0, 129918.5)	(32.0, 163884.0)	(33.0, 204927.5)	(34.0, 259181.0)	(35.0, 334450.0)	(36.0, 418780.5)	(37.0, 509563.0)	(38.0, 617035.0)	(39.0, 745896.5)	(40.0, 872994.0)	(41.0, 984424.5)	(42.0, 1092845.0)	(43.0, 1200111.0)	(44.0, 1302843.0)	(45.0, 1366242.5)	(46.0, 1379803.5)	(47.0, 1378981.5)	(48.0, 1326730.0)	(49.0, 1224791.0)	(50.0, 1136283.0)	(51.0, 1048668.0)	(52.0, 943052.0)	(53.0, 835620.0)	(54.0, 742964.5)	(55.0, 637377.5)	(56.0, 530706.5)	(57.0, 443767.0)	(58.0, 358205.5)	(59.0, 288093.0)	(60.0, 239718.0)	(61.0, 204465.0)	(62.0, 176983.0)	(63.0, 144368.5)	(64.0, 111138.5)	(65.0, 88533.5)	(66.0, 71990.0)	(67.0, 58843.5)	(68.0, 47283.0)	(69.0, 41309.5)	(70.0, 38835.0)	(71.0, 33376.0)	(72.0, 25829.0)	(73.0, 20274.0)	(74.0, 17570.5)	(75.0, 15612.5)	(76.0, 10666.5)	(77.0, 4426.5)	(78.0, 1551.5)	(79.0, 695.0)	(80.0, 330.0)	(81.0, 154.5)	(82.0, 76.5)	(83.0, 38.0)	(84.0, 17.5)	(85.0, 11.0)	(86.0, 6.5)	(87.0, 3.0)	(88.0, 1.0)	(89.0, 1.0)	(90.0, 0.5)	(91.0, 0.0)	(92.0, 0.5)	(93.0, 1.0)	(94.0, 0.5)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.5)	(98.0, 0.5)	(99.0, 0.5)	(100.0, 1.5)
SRR1555737_1129_1	(0.0, 293.0)	(1.0, 171.5)	(2.0, 40.5)	(3.0, 34.0)	(4.0, 36.0)	(5.0, 48.0)	(6.0, 68.0)	(7.0, 102.0)	(8.0, 126.0)	(9.0, 150.5)	(10.0, 198.5)	(11.0, 258.5)	(12.0, 347.5)	(13.0, 468.0)	(14.0, 651.0)	(15.0, 912.5)	(16.0, 1247.0)	(17.0, 1733.0)	(18.0, 2470.5)	(19.0, 3297.0)	(20.0, 4364.0)	(21.0, 5998.0)	(22.0, 8172.0)	(23.0, 10957.0)	(24.0, 14730.0)	(25.0, 19884.5)	(26.0, 25697.0)	(27.0, 32606.0)	(28.0, 41689.0)	(29.0, 53181.0)	(30.0, 67422.0)	(31.0, 85163.0)	(32.0, 108555.0)	(33.0, 137976.5)	(34.0, 180850.0)	(35.0, 247044.5)	(36.0, 319452.0)	(37.0, 393157.5)	(38.0, 482777.0)	(39.0, 604359.5)	(40.0, 725839.0)	(41.0, 827556.5)	(42.0, 942533.5)	(43.0, 1068255.0)	(44.0, 1197053.5)	(45.0, 1286977.0)	(46.0, 1334120.0)	(47.0, 1379766.5)	(48.0, 1346361.0)	(49.0, 1247920.5)	(50.0, 1179985.0)	(51.0, 1117636.0)	(52.0, 1028904.5)	(53.0, 932611.5)	(54.0, 839550.5)	(55.0, 718213.0)	(56.0, 604702.5)	(57.0, 511836.5)	(58.0, 409322.0)	(59.0, 330618.0)	(60.0, 285237.5)	(61.0, 256433.0)	(62.0, 230246.5)	(63.0, 185965.0)	(64.0, 140437.0)	(65.0, 112508.0)	(66.0, 94019.0)	(67.0, 79630.5)	(68.0, 68491.5)	(69.0, 67257.0)	(70.0, 66615.5)	(71.0, 55752.5)	(72.0, 41320.5)	(73.0, 33027.5)	(74.0, 30260.0)	(75.0, 27435.0)	(76.0, 18027.0)	(77.0, 6659.0)	(78.0, 2165.0)	(79.0, 989.0)	(80.0, 428.5)	(81.0, 148.0)	(82.0, 55.5)	(83.0, 24.5)	(84.0, 11.5)	(85.0, 8.0)	(86.0, 8.5)	(87.0, 5.0)	(88.0, 0.5)	(89.0, 0.0)	(90.0, 0.5)	(91.0, 0.5)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.5)	(97.0, 0.5)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
