Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR1555695_1	(2.0, 19496.0)	(3.0, 1931.0)	(4.0, 2953.0)	(5.0, 3729.0)	(6.0, 5447.0)	(7.0, 9258.0)	(8.0, 16657.0)	(9.0, 25324.0)	(10.0, 35849.0)	(11.0, 42394.0)	(12.0, 45707.0)	(13.0, 50356.0)	(14.0, 55055.0)	(15.0, 59414.0)	(16.0, 63425.0)	(17.0, 70158.0)	(18.0, 77958.0)	(19.0, 85689.0)	(20.0, 93210.0)	(21.0, 103834.0)	(22.0, 122429.0)	(23.0, 150903.0)	(24.0, 192394.0)	(25.0, 246345.0)	(26.0, 315861.0)	(27.0, 397006.0)	(28.0, 489442.0)	(29.0, 599498.0)	(30.0, 729129.0)	(31.0, 883088.0)	(32.0, 1080091.0)	(33.0, 1352698.0)	(34.0, 1766454.0)	(35.0, 2471467.0)	(36.0, 3752565.0)	(37.0, 4967569.0)	(38.0, 3230451.0)	(39.0, 366795.0)	(40.0, 263.0)
SRR1555695_1129_1	(17.0, 2.0)	(18.0, 19.0)	(19.0, 63.0)	(20.0, 329.0)	(21.0, 1861.0)	(22.0, 8863.0)	(23.0, 28051.0)	(24.0, 66241.0)	(25.0, 127646.0)	(26.0, 212362.0)	(27.0, 319172.0)	(28.0, 440778.0)	(29.0, 575626.0)	(30.0, 724304.0)	(31.0, 892847.0)	(32.0, 1101923.0)	(33.0, 1379808.0)	(34.0, 1795032.0)	(35.0, 2491224.0)	(36.0, 3760073.0)	(37.0, 4977161.0)	(38.0, 3253837.0)	(39.0, 389041.0)	(40.0, 829.0)															
SRR1555695_1129_2	(17.0, 44.0)	(18.0, 1361.0)	(19.0, 8786.0)	(20.0, 23494.0)	(21.0, 44769.0)	(22.0, 74811.0)	(23.0, 117244.0)	(24.0, 170737.0)	(25.0, 239489.0)	(26.0, 319158.0)	(27.0, 410043.0)	(28.0, 512273.0)	(29.0, 627188.0)	(30.0, 758724.0)	(31.0, 915616.0)	(32.0, 1114165.0)	(33.0, 1382625.0)	(34.0, 1774426.0)	(35.0, 2400015.0)	(36.0, 3476382.0)	(37.0, 4635863.0)	(38.0, 3153567.0)	(39.0, 385319.0)	(40.0, 993.0)															
SRR1555696_1129_1	(18.0, 9.0)	(19.0, 29.0)	(20.0, 209.0)	(21.0, 1623.0)	(22.0, 8212.0)	(23.0, 26250.0)	(24.0, 61568.0)	(25.0, 118018.0)	(26.0, 196571.0)	(27.0, 293320.0)	(28.0, 404182.0)	(29.0, 525903.0)	(30.0, 660300.0)	(31.0, 811330.0)	(32.0, 1003528.0)	(33.0, 1264975.0)	(34.0, 1650345.0)	(35.0, 2325344.0)	(36.0, 3569656.0)	(37.0, 4894090.0)	(38.0, 3453124.0)	(39.0, 475055.0)	(40.0, 958.0)																
SRR1555696_1129_2	(17.0, 20.0)	(18.0, 863.0)	(19.0, 6044.0)	(20.0, 16866.0)	(21.0, 32660.0)	(22.0, 56301.0)	(23.0, 88816.0)	(24.0, 132666.0)	(25.0, 187774.0)	(26.0, 253216.0)	(27.0, 332407.0)	(28.0, 419927.0)	(29.0, 521908.0)	(30.0, 642293.0)	(31.0, 789514.0)	(32.0, 978499.0)	(33.0, 1238270.0)	(34.0, 1621083.0)	(35.0, 2246431.0)	(36.0, 3367090.0)	(37.0, 4733968.0)	(38.0, 3567604.0)	(39.0, 509119.0)	(40.0, 1260.0)															
SRR1555697_1129_1	(17.0, 1.0)	(18.0, 7.0)	(19.0, 52.0)	(20.0, 232.0)	(21.0, 1795.0)	(22.0, 8572.0)	(23.0, 28141.0)	(24.0, 66382.0)	(25.0, 128335.0)	(26.0, 214379.0)	(27.0, 322071.0)	(28.0, 445215.0)	(29.0, 583422.0)	(30.0, 739202.0)	(31.0, 915645.0)	(32.0, 1137911.0)	(33.0, 1434670.0)	(34.0, 1879327.0)	(35.0, 2639576.0)	(36.0, 4007430.0)	(37.0, 5322739.0)	(38.0, 3555774.0)	(39.0, 456352.0)	(40.0, 1039.0)															
SRR1555697_1129_2	(17.0, 47.0)	(18.0, 1395.0)	(19.0, 8933.0)	(20.0, 24242.0)	(21.0, 46610.0)	(22.0, 78091.0)	(23.0, 120989.0)	(24.0, 175830.0)	(25.0, 243525.0)	(26.0, 323603.0)	(27.0, 413311.0)	(28.0, 514925.0)	(29.0, 631261.0)	(30.0, 765710.0)	(31.0, 926946.0)	(32.0, 1134787.0)	(33.0, 1421318.0)	(34.0, 1845668.0)	(35.0, 2534655.0)	(36.0, 3713216.0)	(37.0, 4997467.0)	(38.0, 3500987.0)	(39.0, 463604.0)	(40.0, 1149.0)															
SRR1555736_1129_1	(18.0, 20.0)	(19.0, 41.0)	(20.0, 277.0)	(21.0, 1976.0)	(22.0, 9478.0)	(23.0, 30579.0)	(24.0, 71055.0)	(25.0, 138010.0)	(26.0, 228471.0)	(27.0, 341337.0)	(28.0, 471342.0)	(29.0, 615133.0)	(30.0, 773210.0)	(31.0, 956900.0)	(32.0, 1186604.0)	(33.0, 1497125.0)	(34.0, 1971888.0)	(35.0, 2781677.0)	(36.0, 4089069.0)	(37.0, 4948393.0)	(38.0, 2830728.0)	(39.0, 316879.0)	(40.0, 627.0)																
SRR1555736_1129_2	(17.0, 55.0)	(18.0, 1545.0)	(19.0, 10892.0)	(20.0, 29085.0)	(21.0, 54601.0)	(22.0, 90405.0)	(23.0, 139153.0)	(24.0, 203205.0)	(25.0, 279784.0)	(26.0, 372658.0)	(27.0, 476130.0)	(28.0, 590927.0)	(29.0, 718612.0)	(30.0, 860690.0)	(31.0, 1036064.0)	(32.0, 1254728.0)	(33.0, 1552897.0)	(34.0, 1989628.0)	(35.0, 2666507.0)	(36.0, 3689460.0)	(37.0, 4398757.0)	(38.0, 2555925.0)	(39.0, 288528.0)	(40.0, 583.0)															
SRR1555737_1129_1	(17.0, 1.0)	(18.0, 15.0)	(19.0, 42.0)	(20.0, 256.0)	(21.0, 2007.0)	(22.0, 9932.0)	(23.0, 32755.0)	(24.0, 77069.0)	(25.0, 146772.0)	(26.0, 241445.0)	(27.0, 357921.0)	(28.0, 491079.0)	(29.0, 637529.0)	(30.0, 801147.0)	(31.0, 986372.0)	(32.0, 1221534.0)	(33.0, 1541046.0)	(34.0, 2028516.0)	(35.0, 2849373.0)	(36.0, 4121116.0)	(37.0, 4798978.0)	(38.0, 2524547.0)	(39.0, 262058.0)	(40.0, 564.0)															
