Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR1555695_1	(1.0, 47.21532798197378)	(2.0, 16.500779664745284)	(3.0, 7.6047847736395475)	(4.0, 4.131135569435916)	(5.0, 2.8214280856213687)	(6.0, 1.9969122929661063)	(7.0, 1.5508734760049665)	(8.0, 1.2576375300157168)	(9.0, 1.045635138681942)	('>10', 10.50222956478086)	('>50', 2.3129676507802626)	('>100', 2.350243728633008)	('>500', 0.33639851645151897)	('>1k', 0.2830972814281777)	('>5k', 0.09054874484163182)	('>10k+', 0.0)
SRR1555695_1129_1	(1.0, 47.247835165259275)	(2.0, 16.679018238521817)	(3.0, 7.622976474465469)	(4.0, 4.1718696063196745)	(5.0, 2.8198039049564376)	(6.0, 1.9773776730826549)	(7.0, 1.6005630950707495)	(8.0, 1.2339305538778647)	(9.0, 1.0805299364909922)	('>10', 10.401731523496377)	('>50', 2.2382984387192324)	('>100', 2.2672852713629013)	('>500', 0.31660245158485073)	('>1k', 0.2841011622050831)	('>5k', 0.058076504586723046)	('>10k+', 0.0)
SRR1555695_1129_2	(1.0, 45.30137676090889)	(2.0, 16.439479473057634)	(3.0, 7.803784805988825)	(4.0, 4.209448294402226)	(5.0, 2.931451445943852)	(6.0, 2.117778348824522)	(7.0, 1.6227609169115698)	(8.0, 1.3033377716572379)	(9.0, 1.0537571501572291)	('>10', 11.121463281419066)	('>50', 2.4176287871351945)	('>100', 2.7834653377802514)	('>500', 0.41122763149390773)	('>1k', 0.3863824070862438)	('>5k', 0.09665758723326942)	('>10k+', 0.0)
SRR1555696_1129_1	(1.0, 57.36501603245764)	(2.0, 14.008656482000656)	(3.0, 6.455181579938062)	(4.0, 3.7157873888994537)	(5.0, 2.630084613983697)	(6.0, 1.916610496639861)	(7.0, 1.410459912178399)	(8.0, 1.2035915445749823)	(9.0, 0.9927273063428053)	('>10', 8.193887473559387)	('>50', 1.1458296441134828)	('>100', 0.8672458726917157)	('>500', 0.05214599107786909)	('>1k', 0.042775661541919634)	('>5k', 0.0)	('>10k+', 0.0)
SRR1555696_1129_2	(1.0, 55.50555597075901)	(2.0, 13.803716971714092)	(3.0, 6.542656374437231)	(4.0, 3.852459890183519)	(5.0, 2.628094120199299)	(6.0, 2.005122021369751)	(7.0, 1.5643944259861042)	(8.0, 1.2329587789125391)	(9.0, 0.9623149070907016)	('>10', 9.177818380252019)	('>50', 1.4278734213293673)	('>100', 1.149073304484498)	('>500', 0.097223050721011)	('>1k', 0.05073838256091131)	('>5k', 0.0)	('>10k+', 0.0)
SRR1555697_1129_1	(1.0, 51.697170085045016)	(2.0, 13.96250907051737)	(3.0, 6.547047483143639)	(4.0, 4.207987067489569)	(5.0, 2.9049441067172097)	(6.0, 2.1005629479003205)	(7.0, 1.76516948956662)	(8.0, 1.3174618449095703)	(9.0, 1.1430996463216303)	('>10', 10.558462887921122)	('>50', 1.8479871753159127)	('>100', 1.6946371335211956)	('>500', 0.16800848303284363)	('>1k', 0.08495257859792846)	('>5k', 0.0)	('>10k+', 0.0)
SRR1555697_1129_2	(1.0, 50.07714341591109)	(2.0, 13.757789479418086)	(3.0, 6.684201476931782)	(4.0, 4.1111306126022065)	(5.0, 2.8650349074983215)	(6.0, 2.236421808955784)	(7.0, 1.764130423400904)	(8.0, 1.4910033848600426)	(9.0, 1.1807702636592203)	('>10', 11.33778126764118)	('>50', 2.0956653520409674)	('>100', 2.0179948655866657)	('>500', 0.2560819586851838)	('>1k', 0.1248507828083468)	('>5k', 0.0)	('>10k+', 0.0)
SRR1555736_1129_1	(1.0, 35.0027121390578)	(2.0, 15.470362145485492)	(3.0, 8.056728540326956)	(4.0, 4.714802230223749)	(5.0, 3.015270640203261)	(6.0, 2.3104310772148313)	(7.0, 1.728228400112369)	(8.0, 1.419406564582296)	(9.0, 1.142177307749269)	('>10', 12.44764297244087)	('>50', 3.549269608508989)	('>100', 7.086887092022254)	('>500', 1.926689532275331)	('>1k', 1.9576012944430448)	('>5k', 0.12731830179718073)	('>10k+', 0.04447215355613244)
SRR1555736_1129_2	(1.0, 32.96305410316689)	(2.0, 14.899790770759228)	(3.0, 8.174862600995557)	(4.0, 4.763291135794333)	(5.0, 3.173182878535694)	(6.0, 2.234241607514812)	(7.0, 1.7628610240786393)	(8.0, 1.4072912310552157)	(9.0, 1.1786095829609837)	('>10', 12.930933119859011)	('>50', 3.540378118429207)	('>100', 7.732763716360493)	('>500', 2.341886707884714)	('>1k', 2.5778617285321936)	('>5k', 0.2135004731040998)	('>10k+', 0.10549120096891693)
SRR1555737_1129_1	(1.0, 24.526353625452447)	(2.0, 13.292954212968077)	(3.0, 8.79458555514832)	(4.0, 5.768274132811541)	(5.0, 3.6418469261792965)	(6.0, 2.7054341750902147)	(7.0, 1.949932556974744)	(8.0, 1.5207302915345793)	(9.0, 1.2361487662955806)	('>10', 12.53922378025961)	('>50', 3.3779607495689326)	('>100', 9.854977574426838)	('>500', 4.142751923418175)	('>1k', 5.628627508655133)	('>5k', 0.6371008494522182)	('>10k+', 0.3830973717641218)
