Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
SRR1555695_1	(100, 23982292.0)																									
SRR1555695_1129_1	(50, 25566.0)	(52, 25212.0)	(54, 27169.0)	(56, 29554.0)	(58, 30940.0)	(60, 34918.0)	(62, 36493.0)	(64, 38103.0)	(66, 42783.0)	(68, 47663.0)	(70, 47087.0)	(72, 47425.0)	(74, 39071.0)	(76, 50172.0)	(78, 57871.0)	(80, 67674.0)	(82, 81856.0)	(84, 102717.0)	(86, 133327.0)	(88, 184233.0)	(90, 227550.0)	(92, 323567.0)	(94, 483212.0)	(96, 308865.0)	(98, 20238.0)	(100, 20033826.0)
SRR1555695_1129_2	(50, 52037.0)	(52, 57578.0)	(54, 60655.0)	(56, 62017.0)	(58, 69203.0)	(60, 75258.0)	(62, 83020.0)	(64, 80556.0)	(66, 84644.0)	(68, 90367.0)	(70, 101502.0)	(72, 104010.0)	(74, 108393.0)	(76, 119988.0)	(78, 136569.0)	(80, 155383.0)	(82, 170705.0)	(84, 188737.0)	(86, 220096.0)	(88, 281517.0)	(90, 354158.0)	(92, 475223.0)	(94, 619878.0)	(96, 306958.0)	(98, 20238.0)	(100, 18468402.0)
SRR1555696_1129_1	(50, 20329.0)	(52, 20201.0)	(54, 21469.0)	(56, 23570.0)	(58, 24229.0)	(60, 27440.0)	(62, 28449.0)	(64, 29867.0)	(66, 33677.0)	(68, 37122.0)	(70, 38035.0)	(72, 38917.0)	(74, 31666.0)	(76, 40483.0)	(78, 46849.0)	(80, 55433.0)	(82, 67497.0)	(84, 86360.0)	(86, 112110.0)	(88, 156032.0)	(90, 194958.0)	(92, 277985.0)	(94, 423603.0)	(96, 283896.0)	(98, 20234.0)	(100, 19604188.0)
SRR1555696_1129_2	(50, 37664.0)	(52, 40655.0)	(54, 43225.0)	(56, 44016.0)	(58, 49183.0)	(60, 52749.0)	(62, 56877.0)	(64, 56668.0)	(66, 59418.0)	(68, 64018.0)	(70, 72266.0)	(72, 75185.0)	(74, 78635.0)	(76, 87459.0)	(78, 101574.0)	(80, 116362.0)	(82, 129057.0)	(84, 145051.0)	(86, 171161.0)	(88, 220788.0)	(90, 281479.0)	(92, 388710.0)	(94, 518451.0)	(96, 262322.0)	(98, 20234.0)	(100, 18571392.0)
SRR1555697_1129_1	(50, 22517.0)	(52, 22318.0)	(54, 24071.0)	(56, 26260.0)	(58, 26911.0)	(60, 30789.0)	(62, 31896.0)	(64, 33735.0)	(66, 36933.0)	(68, 40848.0)	(70, 42502.0)	(72, 43844.0)	(74, 36372.0)	(76, 47165.0)	(78, 55006.0)	(80, 66030.0)	(82, 79973.0)	(84, 102567.0)	(86, 133926.0)	(88, 186448.0)	(90, 236960.0)	(92, 342577.0)	(94, 518470.0)	(96, 327764.0)	(98, 32768.0)	(100, 21339619.0)
SRR1555697_1129_2	(50, 53425.0)	(52, 58607.0)	(54, 62379.0)	(56, 63150.0)	(58, 69938.0)	(60, 74130.0)	(62, 77270.0)	(64, 78310.0)	(66, 82233.0)	(68, 88632.0)	(70, 99151.0)	(72, 103407.0)	(74, 107680.0)	(76, 119811.0)	(78, 136593.0)	(80, 156784.0)	(82, 172496.0)	(84, 191244.0)	(86, 223148.0)	(88, 285066.0)	(90, 365609.0)	(92, 494582.0)	(94, 665113.0)	(96, 320784.0)	(98, 32768.0)	(100, 19705959.0)
SRR1555736_1129_1	(50, 28348.0)	(52, 28208.0)	(54, 30868.0)	(56, 33234.0)	(58, 34147.0)	(60, 37774.0)	(62, 39050.0)	(64, 40525.0)	(66, 44430.0)	(68, 47972.0)	(70, 49344.0)	(72, 50662.0)	(74, 40013.0)	(76, 52809.0)	(78, 62142.0)	(80, 72942.0)	(82, 87985.0)	(84, 111593.0)	(86, 144635.0)	(88, 199459.0)	(90, 252011.0)	(92, 358498.0)	(94, 548148.0)	(96, 322633.0)	(98, 13678.0)	(100, 20529711.0)
SRR1555736_1129_2	(50, 58047.0)	(52, 63127.0)	(54, 66956.0)	(56, 67733.0)	(58, 76662.0)	(60, 80900.0)	(62, 85253.0)	(64, 86533.0)	(66, 90168.0)	(68, 98276.0)	(70, 108063.0)	(72, 112142.0)	(74, 117608.0)	(76, 130658.0)	(78, 149792.0)	(80, 170398.0)	(82, 187007.0)	(84, 206791.0)	(86, 241273.0)	(88, 308894.0)	(90, 391285.0)	(92, 525453.0)	(94, 679972.0)	(96, 331979.0)	(98, 13678.0)	(100, 18812171.0)
SRR1555737_1129_1	(50, 28870.0)	(52, 28843.0)	(54, 31593.0)	(56, 35207.0)	(58, 35673.0)	(60, 39123.0)	(62, 40740.0)	(64, 42420.0)	(66, 45881.0)	(68, 50531.0)	(70, 51757.0)	(72, 53468.0)	(74, 42146.0)	(76, 54871.0)	(78, 65518.0)	(80, 76514.0)	(82, 92921.0)	(84, 118169.0)	(86, 152726.0)	(88, 209646.0)	(90, 264369.0)	(92, 376055.0)	(94, 549367.0)	(96, 326400.0)	(98, 14861.0)	(100, 20304405.0)
SRR1555737_1129_2	(50, 53630.0)	(52, 58865.0)	(54, 62058.0)	(56, 64589.0)	(58, 71891.0)	(60, 76990.0)	(62, 80454.0)	(64, 82432.0)	(66, 86038.0)	(68, 93580.0)	(70, 104449.0)	(72, 108600.0)	(74, 114099.0)	(76, 128138.0)	(78, 147126.0)	(80, 168807.0)	(82, 186486.0)	(84, 206765.0)	(86, 241980.0)	(88, 309859.0)	(90, 398247.0)	(92, 537638.0)	(94, 699792.0)	(96, 335844.0)	(98, 14861.0)	(100, 18698856.0)
