Sample	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_stats-insert_size_average	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR1555695	0.0	30.072426	43.658094	100.0	100.0	1.6782821531329335	43.658094	657.7	73.73052	73.73052	100.0	100.0	12.718392999999999	IU	23.982291999999998	21.829047	91.02	12.268042999999999	51.15	9.561003999999999	5.69506	89.1852	3927.6982629999998	45.094184	44.7354	94.01558449876268	0.946911162619486	100.0	100.0						
SRR1555695_1																														38.93341208729335	45.0	100.0	100	18.181818181818183	23.982291999999998
SRR1555695_1129_1																														38.79681278213566	44.0	98.84596275209238	100	18.181818181818183	22.547092
SRR1555695_1129_2																														40.69827832874255	44.0	97.33878737000762	100	9.090909090909092	22.547092
SRR1555696	0.0	30.823382	42.053585999999996	100.0	100.0	2.5579982644048473	42.053585999999996	662.5	72.87696799999999	72.87696799999999	100.0	100.0	11.732399	IU	22.793363	21.026792999999998	92.25	11.912231	52.26	9.114562	1.5253700000000001	90.1049	3845.428848	43.489197999999995	43.8556	95.39881850694871	0.7708208744799967	100.0	100.0						
SRR1555696_1129_1																														30.73274591090572	43.0	99.08769996172383	100	9.090909090909092	21.744598999999997
SRR1555696_1129_2																														32.53273039121029	43.0	98.06268027752547	100	9.090909090909092	21.744598999999997
SRR1555697	0.0	30.980363999999998	46.395286	100.0	100.0	1.6343556972576914	46.395286	703.4	77.37565	77.37565	100.0	100.0	13.121265	IU	25.301983	23.197643	91.69	13.302937	52.58	9.894706	1.8929	89.54950000000001	4184.994482	47.776537999999995	44.1252	94.41263556299126	1.468452097213092	100.0	100.0						
SRR1555697_1129_1																														35.96082343737834	44.0	99.00501440686222	100	9.090909090909092	23.888268999999998
SRR1555697_1129_2																														37.579459615378255	44.0	97.49558934136249	100	9.090909090909092	23.888268999999998
SRR1555736	0.0	29.60383	41.026559999999996	100.0	100.0	2.1569490593410707	41.026559999999996	681.0	70.63038999999999	70.63038999999999	100.0	100.0	11.492205	IU	25.031381999999997	20.513279999999998	81.94999999999999	11.633023	46.47	8.880257	11.1785	88.4243	4012.321285	46.521637999999996	46.293	92.92662706357963	0.8719794216715642	100.0	100.0						
SRR1555736_1129_1																														51.071468402920836	46.0	98.7630737980464	100	18.181818181818183	23.260818999999998
SRR1555736_1129_2																														53.28948288551329	46.0	97.16376390272414	100	9.090909090909092	23.260818999999998
SRR1555737	0.0	28.295754	36.495456	100.0	100.0	2.6973549803022054	36.495456	683.2	64.79120999999999	64.79120999999999	100.0	100.0	10.292656	IU	24.941933	18.247728	73.16999999999999	10.192639	40.87	8.055088999999999	20.4042	88.0853	3974.483312	46.264148	47.5296	92.74370996025047	1.3176344431684586	100.0	100.0						
SRR1555737_1129_1																														61.862844051515886	47.0	98.68084777007024	100	18.181818181818183	23.132074
SRR1555737_1129_2																														64.35085261480381	47.0	97.22736694513428	100	18.181818181818183	23.132074
